Date,Year,Week,Accident and Emergency,ICU,Pediatric,Maternity,General,Acute Care,Orthopedic,Executive and VVIP,Admission
2004-04-19,2004,16,102,77,75,59,48,46,41,26,20
2004-04-20,2004,16,97,83,74,64,59,48,36,28,17
2004-04-21,2004,16,105,86,72,61,56,55,42,33,16
2004-04-22,2004,17,95,90,73,69,53,50,40,34,17
2004-04-23,2004,17,98,78,75,70,54,47,43,33,20
2004-04-24,2004,17,104,85,68,67,50,49,39,30,17
2004-04-25,2004,17,96,72,70,65,54,45,39,27,20
2004-04-26,2004,17,102,90,72,65,58,53,41,32,20
2004-04-27,2004,17,95,77,71,69,56,51,37,30,17
2004-04-28,2004,17,104,87,66,64,59,50,45,30,18
2004-04-29,2004,18,96,75,69,63,49,48,44,34,20
2004-04-30,2004,18,104,81,75,66,49,49,42,28,20
2004-05-01,2004,18,104,83,68,58,59,46,38,29,18
2004-05-02,2004,18,102,74,66,68,54,54,38,25,19
2004-05-03,2004,18,105,80,67,65,57,48,35,29,19
2004-05-04,2004,18,98,77,72,63,52,51,37,27,19
2004-05-05,2004,18,99,86,72,68,53,50,45,34,20
2004-05-06,2004,19,100,81,70,65,56,46,36,35,17
2004-05-07,2004,19,95,90,66,59,49,50,38,26,20
2004-05-08,2004,19,96,74,66,63,58,48,45,30,18
2004-05-09,2004,19,102,83,73,62,53,54,40,30,20
2004-05-10,2004,19,100,80,77,63,54,53,38,25,19
2004-05-11,2004,19,102,75,77,56,49,47,40,26,16
2004-05-12,2004,19,103,73,64,57,51,47,39,32,18
2004-05-13,2004,20,103,83,71,61,57,55,43,31,18
2004-05-14,2004,20,95,83,71,56,49,45,42,30,17
2004-05-15,2004,20,103,84,68,66,57,48,35,33,19
2004-05-16,2004,20,95,74,75,59,54,55,45,31,20
2004-05-17,2004,20,96,76,68,59,57,50,41,32,20
2004-05-18,2004,20,101,74,71,56,53,45,38,31,16
2004-05-19,2004,20,98,83,80,62,53,55,37,28,18
2004-05-20,2004,21,96,72,69,62,49,51,42,30,20
2004-05-21,2004,21,102,84,72,56,48,50,45,25,18
2004-05-22,2004,21,102,90,67,62,58,49,36,32,17
2004-05-23,2004,21,103,74,66,65,52,51,42,35,20
2004-05-24,2004,21,100,79,66,69,59,49,37,28,20
2004-05-25,2004,21,103,89,64,56,48,48,40,26,20
2004-05-26,2004,21,99,85,67,56,59,48,38,26,16
2004-05-27,2004,22,96,80,64,67,60,53,38,30,20
2004-05-28,2004,22,102,83,65,64,53,52,39,32,16
2004-05-29,2004,22,100,77,73,58,57,50,43,33,18
2004-05-30,2004,22,99,86,79,59,58,52,42,29,18
2004-05-31,2004,22,105,74,77,65,57,53,40,34,19
2004-06-01,2004,22,95,84,72,65,52,54,42,29,16
2004-06-02,2004,22,103,73,66,70,60,53,42,32,17
2004-06-03,2004,23,103,92,103,75,74,55,37,27,21
2004-06-04,2004,23,102,95,98,76,77,47,44,30,23
2004-06-05,2004,23,97,101,110,83,76,49,36,30,20
2004-06-06,2004,23,102,95,110,75,82,54,45,31,20
2004-06-07,2004,23,98,104,106,75,83,45,39,30,22
2004-06-08,2004,23,104,98,110,77,84,54,37,28,21
2004-06-09,2004,23,105,95,112,79,74,55,44,35,23
2004-06-10,2004,24,99,100,112,75,81,51,36,28,23
2004-06-11,2004,24,96,105,101,81,80,50,40,28,23
2004-06-12,2004,24,105,101,98,74,84,46,39,32,22
2004-06-13,2004,24,104,90,98,72,81,53,41,27,20
2004-06-14,2004,24,100,99,99,78,84,54,37,33,24
2004-06-15,2004,24,104,100,100,83,81,48,38,32,22
2004-06-16,2004,24,105,107,96,70,72,45,37,33,22
2004-06-17,2004,25,99,93,98,78,83,51,44,28,24
2004-06-18,2004,25,95,97,97,70,78,48,40,31,23
2004-06-19,2004,25,99,103,111,72,77,50,42,31,23
2004-06-20,2004,25,101,94,104,71,77,53,42,25,20
2004-06-21,2004,25,100,107,107,78,76,48,39,29,20
2004-06-22,2004,25,105,108,102,75,82,46,36,25,23
2004-06-23,2004,25,103,92,103,81,82,49,45,27,23
2004-06-24,2004,26,96,108,110,78,84,45,45,25,20
2004-06-25,2004,26,100,107,108,71,77,53,41,31,23
2004-06-26,2004,26,102,93,107,84,81,55,35,31,21
2004-06-27,2004,26,98,98,112,70,80,45,45,35,23
2004-06-28,2004,26,99,105,107,84,76,47,37,32,22
2004-06-29,2004,26,101,106,110,82,78,45,42,28,20
2004-06-30,2004,26,98,92,109,76,78,49,36,32,24
2004-07-01,2004,27,98,104,96,83,80,49,43,29,21
2004-07-02,2004,27,100,91,109,70,78,49,37,27,23
2004-07-03,2004,27,99,104,112,71,75,54,41,26,21
2004-07-04,2004,27,103,104,105,84,74,52,43,27,21
2004-07-05,2004,27,96,98,111,82,75,46,37,31,20
2004-07-06,2004,27,99,100,107,74,82,45,35,32,21
2004-07-07,2004,27,105,96,104,77,79,49,37,28,24
2004-07-08,2004,28,101,102,97,74,73,55,40,26,23
2004-07-09,2004,28,100,93,105,75,84,50,39,26,21
2004-07-10,2004,28,95,103,107,76,84,51,43,30,23
2004-07-11,2004,28,100,108,109,72,74,46,35,35,23
2004-07-12,2004,28,96,97,98,79,77,47,36,34,22
2004-07-13,2004,28,99,91,106,71,82,50,40,28,22
2004-07-14,2004,28,98,92,111,75,75,51,45,33,21
2004-07-15,2004,29,103,105,108,72,75,53,37,25,24
2004-07-16,2004,29,98,108,103,78,80,47,40,28,23
2004-07-17,2004,29,103,104,103,72,79,55,37,30,21
2004-07-18,2004,29,96,92,98,75,76,51,38,30,22
2004-07-19,2004,29,97,100,110,77,72,45,37,34,21
2004-07-20,2004,29,97,107,101,73,81,52,35,25,23
2004-07-21,2004,29,96,96,107,84,75,48,38,26,21
2004-07-22,2004,30,101,103,103,79,80,54,44,25,22
2004-07-23,2004,30,101,98,104,80,80,53,37,29,22
2004-07-24,2004,30,95,92,103,71,79,45,42,34,20
2004-07-25,2004,30,98,103,99,70,82,49,43,35,21
2004-07-26,2004,30,98,91,106,72,76,55,36,35,24
2004-07-27,2004,30,97,108,111,79,78,53,45,35,21
2004-07-28,2004,30,104,103,97,73,72,47,44,34,22
2004-07-29,2004,31,104,95,102,71,77,49,42,32,20
2004-07-30,2004,31,103,104,98,80,81,53,39,29,20
2004-07-31,2004,31,102,93,107,78,77,48,40,25,24
2004-08-01,2004,31,100,105,107,72,75,53,45,27,23
2004-08-02,2004,31,95,93,100,70,84,48,41,30,21
2004-08-03,2004,31,96,97,104,74,82,46,36,27,21
2004-08-04,2004,31,99,108,109,72,75,53,35,25,20
2004-08-05,2004,32,103,95,103,75,79,52,44,29,23
2004-08-06,2004,32,104,96,108,77,77,50,42,28,22
2004-08-07,2004,32,101,100,98,70,73,45,40,30,23
2004-08-08,2004,32,98,94,108,84,84,45,44,34,24
2004-08-09,2004,32,98,104,103,74,79,45,36,25,24
2004-08-10,2004,32,100,101,106,84,74,53,45,31,22
2004-08-11,2004,32,98,92,97,75,82,55,45,26,21
2004-08-12,2004,33,102,98,112,71,78,52,43,25,20
2004-08-13,2004,33,104,107,103,76,80,51,40,33,23
2004-08-14,2004,33,100,96,111,74,80,49,35,32,21
2004-08-15,2004,33,102,91,111,73,81,46,40,25,20
2004-08-16,2004,33,105,106,108,72,73,50,42,35,23
2004-08-17,2004,33,102,102,112,82,80,48,38,33,22
2004-08-18,2004,33,104,103,112,78,77,52,35,31,24
2004-08-19,2004,34,100,99,108,79,82,47,41,33,23
2004-08-20,2004,34,97,94,106,78,75,53,41,34,22
2004-08-21,2004,34,102,108,107,74,83,54,44,35,23
2004-08-22,2004,34,104,99,111,80,81,52,40,30,24
2004-08-23,2004,34,100,101,104,78,72,54,41,25,23
2004-08-24,2004,34,100,102,109,71,83,52,44,26,21
2004-08-25,2004,34,95,98,110,76,76,55,41,31,23
2004-08-26,2004,35,103,108,97,70,81,49,45,33,24
2004-08-27,2004,35,96,104,102,76,73,47,35,32,23
2004-08-28,2004,35,99,97,97,78,73,50,40,33,21
2004-08-29,2004,35,100,105,102,72,84,46,39,25,24
2004-08-30,2004,35,97,103,109,80,82,54,38,35,23
2004-08-31,2004,35,95,108,103,78,80,53,36,34,21
2004-09-01,2004,35,95,101,102,79,79,51,45,29,24
2004-09-02,2004,36,96,108,106,72,73,45,35,33,21
2004-09-03,2004,36,100,92,99,76,74,51,37,29,21
2004-09-04,2004,36,100,93,109,79,81,47,38,26,23
2004-09-05,2004,36,104,96,111,75,74,49,38,26,21
2004-09-06,2004,36,103,95,108,72,79,48,41,31,20
2004-09-07,2004,36,104,105,107,77,80,55,39,30,23
2004-09-08,2004,36,105,106,96,70,74,51,35,26,22
2004-09-09,2004,37,102,80,92,49,44,54,38,32,19
2004-09-10,2004,37,99,86,88,51,42,48,37,27,19
2004-09-11,2004,37,95,80,85,47,48,53,39,33,19
2004-09-12,2004,37,99,81,86,55,48,49,40,31,19
2004-09-13,2004,37,101,79,94,49,37,45,38,30,18
2004-09-14,2004,37,97,84,88,46,46,48,44,35,16
2004-09-15,2004,37,98,75,87,51,41,45,35,29,16
2004-09-16,2004,38,101,75,92,47,36,49,42,26,20
2004-09-17,2004,38,105,87,86,48,37,53,37,28,16
2004-09-18,2004,38,99,84,93,42,37,50,44,32,19
2004-09-19,2004,38,98,76,89,44,46,50,43,26,17
2004-09-20,2004,38,103,88,84,49,48,50,36,26,18
2004-09-21,2004,38,101,81,90,52,41,52,42,27,17
2004-09-22,2004,38,102,88,94,54,41,47,35,25,19
2004-09-23,2004,39,99,76,96,44,36,55,45,35,17
2004-09-24,2004,39,102,84,86,46,39,53,39,27,20
2004-09-25,2004,39,100,79,88,54,39,49,41,30,20
2004-09-26,2004,39,102,87,89,54,47,46,39,25,18
2004-09-27,2004,39,95,84,83,54,39,51,44,32,17
2004-09-28,2004,39,98,79,88,46,37,45,44,31,16
2004-09-29,2004,39,100,79,87,42,39,51,45,32,19
2004-09-30,2004,40,103,88,88,49,42,48,41,30,16
2004-10-01,2004,40,103,75,91,48,41,52,42,34,20
2004-10-02,2004,40,95,74,92,50,47,52,39,30,18
2004-10-03,2004,40,103,74,88,54,47,49,42,26,17
2004-10-04,2004,40,96,90,95,50,40,49,39,35,19
2004-10-05,2004,40,99,80,96,50,38,48,41,34,16
2004-10-06,2004,40,98,78,88,56,43,51,42,25,19
2004-10-07,2004,41,99,87,86,45,41,49,43,34,19
2004-10-08,2004,41,100,84,88,43,45,51,42,35,20
2004-10-09,2004,41,95,80,86,56,45,52,40,30,18
2004-10-10,2004,41,95,72,89,53,39,53,38,27,16
2004-10-11,2004,41,102,79,94,49,41,45,44,27,16
2004-10-12,2004,41,105,86,86,43,42,47,45,26,17
2004-10-13,2004,41,99,74,88,44,39,48,35,33,20
2004-10-14,2004,42,96,90,81,45,36,45,38,27,18
2004-10-15,2004,42,96,85,91,54,45,51,38,31,20
2004-10-16,2004,42,95,76,85,55,36,53,43,34,19
2004-10-17,2004,42,102,73,81,51,44,53,38,35,17
2004-10-18,2004,42,101,72,90,44,39,47,35,30,18
2004-10-19,2004,42,101,81,89,50,43,45,38,31,20
2004-10-20,2004,42,105,72,87,49,46,45,35,32,17
2004-10-21,2004,43,97,80,93,53,48,53,45,32,20
2004-10-22,2004,43,100,73,92,47,40,53,37,26,17
2004-10-23,2004,43,97,75,93,55,37,49,36,27,18
2004-10-24,2004,43,100,90,91,44,39,50,44,25,20
2004-10-25,2004,43,103,82,94,48,45,52,40,29,16
2004-10-26,2004,43,100,76,88,46,46,51,43,31,16
2004-10-27,2004,43,101,90,80,45,45,45,43,33,18
2004-10-28,2004,44,103,89,93,51,41,54,36,35,18
2004-10-29,2004,44,103,76,89,54,36,52,35,34,17
2004-10-30,2004,44,95,72,82,44,46,48,42,34,19
2004-10-31,2004,44,100,81,82,50,37,48,43,35,19
2004-11-01,2004,44,96,77,86,43,46,47,38,26,20
2004-11-02,2004,44,99,79,91,44,38,48,37,25,19
2004-11-03,2004,44,97,78,90,51,40,45,45,29,17
2004-11-04,2004,45,100,78,91,43,45,53,39,34,17
2004-11-05,2004,45,104,72,82,42,42,46,37,27,20
2004-11-06,2004,45,98,79,88,47,39,52,36,25,16
2004-11-07,2004,45,102,85,82,47,36,50,39,33,19
2004-11-08,2004,45,102,72,92,53,48,45,40,25,16
2004-11-09,2004,45,103,87,88,47,48,52,45,31,17
2004-11-10,2004,45,99,81,92,49,43,45,40,26,18
2004-11-11,2004,46,105,89,93,44,46,53,36,33,18
2004-11-12,2004,46,96,86,88,52,37,50,42,34,17
2004-11-13,2004,46,104,75,83,43,43,51,44,31,18
2004-11-14,2004,46,97,74,89,53,40,54,36,32,20
2004-11-15,2004,46,104,73,82,50,40,51,39,35,20
2004-11-16,2004,46,98,90,84,55,48,51,42,28,20
2004-11-17,2004,46,95,83,87,50,40,46,36,35,20
2004-11-18,2004,47,105,78,91,46,37,51,43,31,16
2004-11-19,2004,47,95,75,96,48,46,46,35,28,20
2004-11-20,2004,47,97,78,80,54,47,55,38,33,18
2004-11-21,2004,47,98,74,85,42,36,46,36,30,20
2004-11-22,2004,47,103,85,83,44,45,55,36,31,16
2004-11-23,2004,47,101,74,92,52,38,45,44,33,16
2004-11-24,2004,47,102,74,85,50,46,49,44,31,19
2004-11-25,2004,48,95,106,83,61,47,55,37,35,22
2004-11-26,2004,48,103,108,87,67,43,46,40,29,24
2004-11-27,2004,48,101,92,86,65,40,52,41,33,21
2004-11-28,2004,48,95,90,96,66,39,49,38,29,21
2004-11-29,2004,48,97,103,80,59,38,45,37,35,21
2004-11-30,2004,48,101,95,93,70,45,46,44,35,24
2004-12-01,2004,48,96,92,87,63,38,55,36,34,22
2004-12-02,2004,49,105,94,88,57,38,47,39,30,21
2004-12-03,2004,49,102,105,84,62,42,53,38,35,24
2004-12-04,2004,49,97,96,87,63,40,54,38,34,24
2004-12-05,2004,49,105,91,93,68,41,50,45,30,21
2004-12-06,2004,49,96,96,90,68,47,51,43,31,23
2004-12-07,2004,49,100,90,88,61,42,45,39,28,21
2004-12-08,2004,49,97,101,85,69,37,54,43,33,24
2004-12-09,2004,50,99,98,81,64,38,53,40,32,20
2004-12-10,2004,50,96,104,81,60,46,47,36,27,22
2004-12-11,2004,50,98,100,81,69,46,53,35,32,24
2004-12-12,2004,50,100,95,86,59,48,48,38,31,21
2004-12-13,2004,50,102,100,86,62,40,47,39,27,20
2004-12-14,2004,50,99,101,90,58,39,50,40,25,22
2004-12-15,2004,50,105,102,96,65,45,53,45,28,23
2004-12-16,2004,51,102,105,82,58,43,52,35,31,20
2004-12-17,2004,51,105,90,82,68,46,50,41,31,21
2004-12-18,2004,51,105,97,88,63,45,54,41,27,21
2004-12-19,2004,51,97,103,84,56,43,54,40,28,21
2004-12-20,2004,51,98,97,95,57,40,52,41,35,21
2004-12-21,2004,51,97,91,91,65,45,55,43,35,22
2004-12-22,2004,51,98,97,91,59,47,51,38,35,22
2004-12-23,2004,52,98,93,81,64,36,54,38,31,21
2004-12-24,2004,52,97,91,87,67,38,54,40,27,20
2004-12-25,2004,52,102,108,93,69,38,50,38,31,23
2004-12-26,2004,52,97,102,84,60,38,49,36,28,20
2004-12-27,2004,52,100,101,94,57,48,52,43,26,20
2004-12-28,2004,52,95,104,96,57,47,53,42,28,22
2004-12-29,2004,52,100,97,93,63,46,54,35,27,21
2004-12-30,2004,53,103,101,93,58,45,49,43,26,22
2004-12-31,2004,53,100,96,90,69,39,54,35,33,23
2005-01-01,2005,1,98,105,84,65,43,45,40,29,24
2005-01-02,2005,1,100,100,84,64,45,53,36,34,24
2005-01-03,2005,1,104,108,83,63,46,48,38,27,20
2005-01-04,2005,1,97,93,90,61,44,54,41,26,21
2005-01-05,2005,1,100,101,96,67,47,48,41,31,24
2005-01-06,2005,1,101,91,90,56,46,48,44,34,22
2005-01-07,2005,1,103,93,96,61,39,52,43,29,20
2005-01-08,2005,2,102,99,87,67,42,45,41,28,21
2005-01-09,2005,2,101,107,93,56,45,47,39,30,22
2005-01-10,2005,2,99,95,92,63,38,45,37,30,21
2005-01-11,2005,2,102,93,84,60,37,45,36,31,22
2005-01-12,2005,2,99,107,93,69,44,50,38,28,22
2005-01-13,2005,2,96,95,89,57,46,49,44,30,24
2005-01-14,2005,2,105,99,89,63,47,51,40,29,21
2005-01-15,2005,3,97,99,89,58,42,45,38,31,23
2005-01-16,2005,3,104,92,80,67,42,46,39,30,23
2005-01-17,2005,3,104,108,83,65,45,51,41,33,22
2005-01-18,2005,3,101,90,84,62,38,51,38,28,21
2005-01-19,2005,3,100,104,84,68,42,47,36,34,22
2005-01-20,2005,3,96,108,86,62,43,45,40,30,20
2005-01-21,2005,3,98,106,81,59,38,49,37,31,22
2005-01-22,2005,4,100,95,85,70,38,46,40,29,23
2005-01-23,2005,4,96,99,96,61,48,55,40,31,22
2005-01-24,2005,4,102,102,81,60,46,47,41,35,20
2005-01-25,2005,4,104,106,85,66,37,53,39,35,21
2005-01-26,2005,4,104,98,88,69,38,52,45,35,23
2005-01-27,2005,4,104,103,82,69,46,49,38,26,21
2005-01-28,2005,4,97,105,89,67,48,50,37,28,23
2005-01-29,2005,5,105,91,94,70,38,50,40,29,21
2005-01-30,2005,5,95,103,90,63,38,46,44,29,21
2005-01-31,2005,5,104,100,88,68,46,55,44,34,21
2005-02-01,2005,5,104,96,81,61,47,48,45,34,24
2005-02-02,2005,5,103,105,92,60,37,45,43,25,21
2005-02-03,2005,5,100,92,90,66,42,53,36,35,22
2005-02-04,2005,5,100,100,80,69,36,53,42,34,22
2005-02-05,2005,6,99,108,92,60,37,55,41,26,24
2005-02-06,2005,6,101,97,95,56,48,53,36,30,21
2005-02-07,2005,6,105,92,90,59,47,51,41,33,23
2005-02-08,2005,6,101,102,95,59,38,48,35,29,21
2005-02-09,2005,6,95,101,86,60,37,51,38,26,22
2005-02-10,2005,6,100,99,83,56,44,54,43,34,22
2005-02-11,2005,6,105,91,82,69,45,47,41,28,22
2005-02-12,2005,7,102,90,81,58,48,54,36,28,21
2005-02-13,2005,7,97,97,84,64,47,45,38,30,23
2005-02-14,2005,7,99,104,88,58,45,47,35,25,20
2005-02-15,2005,7,96,106,92,62,41,48,36,25,20
2005-02-16,2005,7,97,93,82,60,38,54,40,30,24
2005-02-17,2005,7,97,90,91,67,40,50,39,25,24
2005-02-18,2005,7,104,99,85,64,48,53,40,34,20
2005-02-19,2005,8,98,103,81,56,36,46,41,27,20
2005-02-20,2005,8,102,95,95,64,44,46,39,25,22
2005-02-21,2005,8,102,96,84,57,47,51,37,34,22
2005-02-22,2005,8,105,97,88,56,40,46,38,29,21
2005-02-23,2005,8,95,105,80,58,42,51,39,30,20
2005-02-24,2005,8,95,93,81,58,46,51,36,35,23
2005-02-25,2005,8,96,90,86,59,38,45,36,31,24
2005-02-26,2005,9,97,101,87,62,39,48,39,32,20
2005-02-27,2005,9,105,92,82,64,37,47,35,35,21
2005-02-28,2005,9,98,96,80,57,37,52,42,30,23
2005-03-01,2005,9,96,108,88,62,44,49,36,35,22
2005-03-02,2005,9,96,99,87,70,36,51,39,26,20
2005-03-03,2005,9,95,106,96,68,48,52,38,34,23
2005-03-04,2005,9,99,105,90,61,40,54,39,31,24
2005-03-05,2005,10,102,78,75,57,60,55,43,35,19
2005-03-06,2005,10,101,83,71,64,50,47,37,29,16
2005-03-07,2005,10,99,88,65,56,49,47,45,26,19
2005-03-08,2005,10,104,85,64,64,51,55,44,25,17
2005-03-09,2005,10,95,84,71,61,55,50,43,28,18
2005-03-10,2005,10,103,81,65,63,51,50,39,35,16
2005-03-11,2005,10,102,84,80,59,52,51,38,27,19
2005-03-12,2005,11,98,76,71,59,55,49,39,33,20
2005-03-13,2005,11,97,74,75,60,59,49,41,35,18
2005-03-14,2005,11,96,78,72,64,53,55,39,27,19
2005-03-15,2005,11,99,90,67,62,53,54,40,28,18
2005-03-16,2005,11,104,87,78,69,54,48,45,33,16
2005-03-17,2005,11,95,77,74,65,54,54,45,31,16
2005-03-18,2005,11,99,88,65,61,59,49,42,27,18
2005-03-19,2005,12,103,87,67,67,60,52,40,25,17
2005-03-20,2005,12,98,88,72,69,59,47,39,25,17
2005-03-21,2005,12,97,80,69,67,52,46,37,31,16
2005-03-22,2005,12,103,90,77,69,53,47,43,34,19
2005-03-23,2005,12,101,78,77,62,59,46,38,25,17
2005-03-24,2005,12,99,82,79,69,56,53,35,30,16
2005-03-25,2005,12,97,84,69,66,50,49,44,28,17
2005-03-26,2005,13,105,72,66,69,53,53,36,29,20
2005-03-27,2005,13,100,81,66,64,51,55,35,33,19
2005-03-28,2005,13,96,85,78,61,54,45,37,30,18
2005-03-29,2005,13,97,86,76,57,56,51,44,32,19
2005-03-30,2005,13,103,88,79,57,54,49,36,32,19
2005-03-31,2005,13,99,88,74,56,48,53,35,28,18
2005-04-01,2005,13,104,87,73,62,55,54,35,31,16
2005-04-02,2005,14,98,88,76,68,51,55,42,28,17
2005-04-03,2005,14,105,82,73,61,58,54,37,34,18
2005-04-04,2005,14,105,78,77,58,50,46,44,30,18
2005-04-05,2005,14,102,85,80,63,51,54,39,35,18
2005-04-06,2005,14,96,72,73,67,53,51,43,34,16
